cpf|nome|data_nascimento|sexo|convenio|logradouro|numero|bairro|cidade|estado|data_cadastro|pais_cadastro
48015269342|Pietra Ramos|26/08/1985|Fem|AMIL|Chácara de Melo|897.0|Salgado Filho|Campos do Norte|CE|1970-01-29 20:56:46|Br
90514623799|Ana Laura Silva|27/01/1971|Fem|AMIL|Distrito Ramos|714.0|Conjunto Capitão Eduardo|Oliveira|PB|1995-07-11 00:46:12|Br
13802769503|Bryan Cavalcanti|01/02/2023|Masc|AMIL|Rua Souza|913.0|Tirol|Almeida de da Mota|AM|1989-07-24 13:11:41|Br
56078134280|Marcelo Costela|23/09/1982|Masc|AMIL|Praia da Mata|153.0|Vila Paraíso|Fogaça do Campo|SP|1983-03-03 22:53:55|Br
94716832031|Murilo Pereira|28/04/2013|Masc|AMIL|Largo de da Cruz|123.0|São José|Silva|BA|2011-11-22 12:57:01|Br
19307586420|João Caldeira|26/05/2012|Masc|AMIL|Colônia Dias|836.0|Vila Tirol|Barros|BA|1976-12-19 19:13:32|Br
52398467074|Luiz Henrique Viana|30/12/2001|Masc|AMIL|Viela Barros|506.0|Zilah Sposito|Pires|PB|1977-09-24 10:52:39|Br
17395602803|Sr. Diogo Rezende|25/05/2017|Masc|AMIL|Aeroporto Vinicius da Luz|28.0|Vila Petropolis|Mendes|AL|2002-02-04 00:04:18|Br
06482197396|João Vitor Gomes|04/09/1987|Masc|AMIL|Trevo Peixoto|253.0|Mantiqueira|Fernandes Grande|MS|2017-12-28 20:20:46|Br
42759368092|Sra. Carolina Duarte|10/05/1973|Fem|AMIL|Praça Vicente Teixeira|226.0|Vila Pilar|da Mota das Pedras|TO|2009-03-18 03:50:24|Br
81027943640|Letícia Araújo|02/07/1992|Fem|AMIL|Trevo Ramos|515.0|Cidade Jardim|Silveira do Norte|RO|2006-03-04 12:20:07|Br
34206718903|Ana Clara Freitas|04/07/1998|Fem|AMIL|Vila de Campos|218.0|Camponesa 2ª Seção|Novaes|PA|2011-06-19 17:06:09|Br
87016394204|Cauã Rocha|30/04/2008|Masc|AMIL|Chácara Pedro Castro|199.0|São Jorge 3ª Seção|Moreira do Sul|MT|2020-06-13 00:23:27|Br
49378601278|Sophie Gomes|18/01/1985|Fem|AMIL|Sítio Pedro da Mota|261.0|Vila São Francisco|Lima do Sul|ES|2000-04-17 10:02:10|Br
17956432855|Luiz Miguel Silva|22/01/2006|Masc|AMIL|Passarela de Martins|151.0|Vila Independencia 2ª Seção|Rezende|MG|2005-10-09 22:08:30|Br
54901673866|Dr. Enzo Duarte|14/11/1981|Masc|AMIL|Área Manuela Ramos|345.0|Flamengo|Castro Verde|AL|2022-10-15 05:23:31|Br
27815034950|Lucas Gabriel da Paz|15/01/1992|Masc|AMIL|Via Olivia Farias|86.0|Casa Branca|Gonçalves de Alves|PR|2006-01-30 07:59:19|Br
24158079667|Danilo Jesus|02/08/2001|Masc|AMIL|Esplanada Fernandes|626.0|Álvaro Camargos|Martins do Amparo|MS|2018-12-14 05:13:37|Br
73960584148|Srta. Maria Moreira|13/02/1991|Fem|AMIL|Fazenda Juan da Costa|98.0|Paquetá|Carvalho de Barros|RJ|1994-04-14 01:12:31|Br
10326874526|Yuri Castro|23/01/1994|Masc|AMIL|Favela de da Mata|680.0|Boa Viagem|Costela do Oeste|ES|2008-04-07 16:29:52|Br
29753864000|Diego Barros|30/08/1983|Masc|AMIL|Aeroporto de Carvalho|187.0|Maria Goretti|Barbosa Alegre|PI|1979-10-23 15:19:34|Br
38106274969|Mariana Correia|09/07/1987|Fem|AMIL|Jardim de Araújo|646.0|Jaraguá|da Cruz|PE|1995-06-17 02:30:46|Br
01964328551|Luiz Gustavo Oliveira|18/02/2009|Masc|AMIL|Favela Gomes|194.0|Madri|Fernandes de da Rosa|MS|2007-08-03 02:05:32|Br
47230895197|Marcela Silva|29/11/1992|Fem|AMIL|Parque de Viana|858.0|Jatobá|Aragão Grande|RR|1987-04-04 10:30:47|Br
37162590802|João Gabriel Cardoso|10/05/1990|Masc|AMIL|Morro Rodrigues|286.0|Vila Madre Gertrudes 1ª Seção|Gomes da Prata|CE|1991-05-25 04:07:30|Br
50273846965|Alice Sales|10/04/2009|Fem|AMIL|Favela Juliana Nascimento|560.0|Ouro Minas|Mendes|CE|2016-08-17 18:53:53|Br
54719083684|Isaac Melo|28/03/1986|Masc|AMIL|Pátio Moreira|862.0|São Lucas|Viana|CE|2007-09-02 14:45:21|Br
39026148704|Maria Fernanda Teixeira|19/09/1975|Fem|AMIL|Praça de Silveira|876.0|Cdi Jatoba|Cardoso|PA|1993-08-15 00:39:56|Br
93571240804|Isabel Cavalcanti|15/11/1986|Fem|AMIL|Trevo Maria Sophia Pereira|318.0|Penha|Ramos|PR|1991-07-30 19:49:04|Br
61572893419|Noah Farias|01/02/1973|Masc|AMIL|Viaduto da Paz|368.0|Grotinha|Gonçalves|AM|1974-11-09 00:04:19|Br
04957163243|Augusto Souza|16/09/1972|Masc|AMIL|Esplanada de Viana|184.0|Minas Caixa|Ferreira|BA|1989-01-14 03:43:02|Br
78390641240|Breno Rezende|02/09/2018|Masc|AMIL|Viela Paulo Dias|812.0|Marajó|Cardoso|PR|1991-03-07 22:51:37|Br
46729531061|Isaac Moraes|20/09/2022|Masc|AMIL|Jardim Barbosa|188.0|Sion|Cunha|MG|1979-01-10 07:26:39|Br
82459763000|Anthony Sales|18/11/2003|Masc|AMIL|Passarela de Cardoso|730.0|Araguaia|Pires Grande|PA|1986-12-26 02:17:57|Br
13907586212|Sr. André da Costa|06/01/2009|Masc|AMIL|Quadra de das Neves|317.0|Glória|Cardoso do Oeste|PA|1986-05-10 11:54:37|Br
35682749065|Alice Farias|01/04/1972|Fem|AMIL|Morro Ana Lívia Cardoso|330.0|Vila Oeste|Lima do Amparo|AC|1983-11-18 16:14:09|Br
03867594210|Olivia Campos|11/09/1985|Fem|AMIL|Núcleo Carolina Cardoso|212.0|Beija Flor|Caldeira do Campo|DF|2007-04-26 10:08:50|Br
39214786500|Heitor Cardoso|05/02/1986|Masc|AMIL|Parque Sales|765.0|Vila São Rafael|Costa do Campo|CE|2006-03-02 14:47:56|Br
02978531479|Maria Fernanda Viana|27/08/2005|Fem|AMIL|Setor Moreira|133.0|Vila Nova Cachoeirinha 2ª Seção|Costela da Serra|AM|1971-04-11 01:10:18|Br
83192754079|Davi Lucca Rezende|14/05/2020|Masc|AMIL|Largo Fogaça|451.0|Prado|Nunes Grande|MG|1992-12-14 23:42:24|Br
41637820526|Daniela Moreira|03/06/1990|Fem|AMIL|Viela Kevin da Mota|309.0|Beija Flor|Cardoso|ES|1977-05-17 15:07:32|Br
54938601206|Yago Mendes|18/10/1987|Masc|AMIL|Colônia Rodrigo Rodrigues|640.0|Pindura Saia|Ribeiro|RS|1982-03-02 15:16:17|Br
86714052308|Emanuella Nascimento|16/05/1996|Fem|AMIL|Largo Luiz Fernando das Neves|849.0|Estrela Do Oriente|Martins|PI|1970-12-03 12:24:49|Br
63219758002|Luiz Henrique Moraes|11/10/2016|Masc|AMIL|Conjunto Letícia Pinto|505.0|Providencia|Rodrigues de Araújo|MG|2001-11-07 16:09:10|Br
15789362095|Luiz Miguel da Conceição|25/05/2002|Masc|AMIL|Viaduto de Martins|70.0|Conjunto Santa Maria|Freitas|AP|1997-06-23 19:03:40|Br
54782091397|Otávio Rodrigues|12/07/1978|Masc|AMIL|Recanto de Barbosa|168.0|Caiçara - Adelaide|Lopes|PI|2004-08-01 10:17:10|Br
18965734010|Yago da Luz|01/02/1974|Masc|AMIL|Rodovia de Silva|30.0|Vila Fumec|Peixoto|DF|1998-05-17 07:23:16|Br
71839564237|Lucas Gabriel Novaes|12/01/1979|Masc|AMIL|Colônia Aragão|614.0|Fazendinha|Costa|AL|1997-03-04 03:19:42|Br
80524913633|Laura Jesus|25/05/2015|Fem|AMIL|Morro Pinto|70.0|Jardim Montanhês|Silveira|AC|2017-07-25 16:40:12|Br
75890364200|Levi da Costa|09/06/2006|Masc|AMIL|Via de Correia|512.0|Nova Pampulha|Barros|AM|1996-10-24 20:50:29|Br
48059721658|Levi Santos|14/07/1994|Masc|AMIL|Residencial de Nascimento|996.0|Jaraguá|Moreira do Campo|RR|2016-02-27 00:43:38|Br
34805712635|Luiz Felipe Aragão|11/02/1990|Masc|AMIL|Trevo Ferreira|401.0|Sagrada Família|Caldeira|PB|1975-07-18 19:07:00|Br
07182463571|Caroline Lopes|16/02/1990|Fem|AMIL|Favela Isabella da Conceição|542.0|Jardim Atlântico|Mendes|DF|1980-02-15 08:34:39|Br
76490213516|Maria Vitória Oliveira|26/08/1988|Fem|AMIL|Largo Ana Vitória Sales|442.0|Salgado Filho|Martins de Barbosa|PB|2016-08-31 08:01:05|Br
43965710893|Marina Correia|09/01/1989|Fem|AMIL|Setor Maria Luiza Mendes|427.0|Candelaria|Silveira|CE|2019-01-22 20:23:43|Br
15704623808|Dr. André Oliveira|15/02/1998|Masc|AMIL|Rua da Cunha|66.0|Vila Nova Paraíso|Rodrigues do Amparo|GO|1999-10-11 15:53:16|Br
98703624196|Brenda Novaes|24/09/1981|Fem|AMIL|Vale Mariane da Cruz|965.0|Vila Antena Montanhês|Novaes|PA|1992-01-26 19:19:46|Br
15394820651|Juan Azevedo|17/09/1990|Masc|AMIL|Praça Moraes|83.0|Vista Alegre|Porto|PR|1989-08-20 13:47:15|Br
62908537400|Davi Lucas Nogueira|08/10/2015|Masc|AMIL|Feira Castro|465.0|Vila Puc|Sales de Lopes|TO|2022-10-22 21:18:01|Br
65802197420|Sr. Luiz Fernando Moura|15/09/1991|Masc|AMIL|Sítio Correia|683.0|Mantiqueira|da Rosa dos Dourados|TO|2000-10-06 22:08:00|Br
61432590898|Srta. Julia da Mata|10/01/2021|Fem|AMIL|Parque Oliveira|354.0|Santa Cecilia|Jesus|RS|1999-04-02 04:25:31|Br
85460193206|Dra. Alice Moreira|29/08/1977|Fem|AMIL|Rua Cardoso|903.0|Casa Branca|Castro de Minas|AP|2014-07-12 16:22:52|Br
78319564255|Luiz Henrique Peixoto|19/09/1989|Masc|AMIL|Vila Valentina Peixoto|287.0|São José|Silva|MS|2004-11-20 23:34:16|Br
74581329655|Ana Julia Moraes|23/10/1989|Fem|AMIL|Distrito de da Conceição|951.0|Outro|Pereira|RR|2008-02-12 05:24:59|Br
45129806360|Agatha Barros|08/07/1991|Fem|AMIL|Lagoa Fogaça|169.0|Vila Esplanada|da Mota do Campo|MS|1983-02-25 21:47:20|Br
96758230465|Sr. Emanuel Teixeira|02/08/2015|Masc|AMIL|Via Duarte|668.0|Pantanal|Cardoso de Mendes|MG|2010-07-13 03:22:58|Br
43728951005|Enzo Campos|07/03/1978|Masc|AMIL|Recanto de Gomes|621.0|Carmo|Cardoso|CE|1997-09-28 22:11:42|Br
09236817440|Sr. Guilherme Fernandes|18/05/2020|Masc|AMIL|Aeroporto de das Neves|245.0|Pongelupe|Silva|TO|1970-07-08 01:19:10|Br
53870416939|Isabella Rodrigues|09/11/2011|Fem|AMIL|Colônia de Peixoto|448.0|Vila São Francisco|Pereira do Norte|SP|1997-01-09 17:11:31|Br
84706195357|João Pedro Peixoto|14/11/2003|Masc|AMIL|Alameda Cunha|11.0|Vila Primeiro De Maio|Melo|SC|1981-05-24 19:27:54|Br
65749802329|Sra. Esther Ferreira|29/01/2020|Fem|AMIL|Vereda de Cavalcanti|43.0|Paraíso|Costela dos Dourados|BA|1980-07-05 01:02:09|Br
95634780101|Emilly Oliveira|11/01/2000|Fem|AMIL|Campo de Santos|67.0|Lorena|Porto do Sul|GO|1986-02-01 10:38:29|Br
94563081205|Maria Luiza Lopes|23/05/1981|Fem|AMIL|Ladeira de Jesus|432.0|Vila Pinho|Rodrigues|AL|1991-06-08 21:11:17|Br
18073469278|Rebeca Lima|30/10/1988|Fem|AMIL|Lagoa Moreira|155.0|Leticia|Martins do Amparo|MT|2007-04-21 14:42:21|Br
52413978097|Dra. Ana Julia Campos|17/11/2008|Fem|AMIL|Recanto de Silva|667.0|Fazendinha|da Rocha|GO|2018-11-28 04:08:58|Br
40187263507|Isadora Peixoto|04/04/2018|Fem|AMIL|Recanto Fogaça|444.0|Araguaia|da Luz|MG|1978-05-07 01:42:34|Br
72853164900|Theo Freitas|15/10/1992|Masc|AMIL|Rodovia de Costa|434.0|Mirtes|Mendes Paulista|RO|2010-08-02 01:32:24|Br
05712639840|Catarina Cardoso|03/08/2013|Fem|AMIL|Largo Ana Vitória Fernandes|136.0|Bela Vitoria|Barros do Oeste|ES|1990-10-21 08:46:46|Br
47963081566|Dr. Fernando Cardoso|10/10/2004|Masc|AMIL|Quadra Enrico da Costa|103.0|Vila Nova Cachoeirinha 2ª Seção|Souza|GO|1996-04-18 21:34:07|Br
50763849200|Eduardo da Luz|18/07/1993|Masc|AMIL|Parque Silveira|779.0|Alto Caiçaras|da Cruz do Galho|MS|2016-10-23 21:53:51|Br
72634895038|Isabelly Peixoto|20/07/2021|Fem|AMIL|Praia Araújo|878.0|São Cristóvão|Castro da Serra|RR|2010-11-20 08:34:22|Br
57492081685|Sr. Rodrigo Cavalcanti|03/07/2018|Masc|AMIL|Rodovia de Ferreira|45.0|Vila Santa Rosa|Aragão|TO|2022-05-18 05:18:56|Br
